요일,시간대,강좌명,강좌담당교수,배정강의실,강의실명,수강인원
월,09:00,M애플리케이션테스트수행,홍주영,1215,컴퓨터실습실(1215),37
월,09:00,텍스트&영상처리,조상구,1203,ICC실습ZONE(1203),15
월,10:00,AI애플리케이션개발,정계동,1216,크리에이티브실습실(1216),12
월,10:00,M애플리케이션배포,박상렬,1203,ICC실습ZONE(1203),23
월,10:00,자바프로그래밍(2),안철훈,1215,컴퓨터실습실(1215),23
월,11:00,MSQL활용(1),안철훈,1216,크리에이티브실습실(1216),37
월,11:00,M화면구현(2),유선주,1203,ICC실습ZONE(1203),32
월,11:00,M빅데이터처리,유소율,1215,컴퓨터실습실(1215),30
월,12:00,AI애플리케이션개발,정계동,1215,컴퓨터실습실(1215),12
월,12:00,M서버프로그램구현(1),나기수,1216,크리에이티브실습실(1216),39
월,12:00,파이썬프로그래밍(2),조문석,1203,ICC실습ZONE(1203),26
월,13:00,M애플리케이션테스트수행,홍주영,1203,ICC실습ZONE(1203),27
월,14:00,M서버프로그램구현(1),나기수,1203,ICC실습ZONE(1203),39
월,14:00,데이터시각화실습,김대중,1215,컴퓨터실습실(1215),13
월,15:00,M애플리케이션배포,유소율,1216,크리에이티브실습실(1216),38
월,16:00,M프로그래밍언어활용(1),배희호,1203,ICC실습ZONE(1203),30
월,16:00,텍스트&영상처리,조상구,1215,컴퓨터실습실(1215),15
월,17:00,인공지능모델운영,조상구,1215,컴퓨터실습실(1215),20
월,17:00,자바프로그래밍(2),안철훈,1216,크리에이티브실습실(1216),23
화,09:00,M서버프로그램구현(1),나기수,1216,크리에이티브실습실(1216),26
화,09:00,M인공지능실습,신효영,1203,ICC실습ZONE(1203),26
화,09:00,파이썬프로그래밍(2),조문석,1215,컴퓨터실습실(1215),26
화,10:00,MIT보안,박상렬,1203,ICC실습ZONE(1203),33
화,10:00,M앱프로그래밍(1),배희호,1215,컴퓨터실습실(1215),38
화,11:00,M빅데이터처리,유소율,1215,컴퓨터실습실(1215),30
화,11:00,데이터분석실습,조문석,1216,크리에이티브실습실(1216),14
화,11:00,앱프로그래밍(2),서공원,1203,ICC실습ZONE(1203),13
화,12:00,M애플리케이션배포,박상렬,1216,크리에이티브실습실(1216),23
화,12:00,캡스톤디자인,정환익,1215,컴퓨터실습실(1215),40
화,13:00,M화면구현(2),유선주,1216,크리에이티브실습실(1216),37
